metro,city,year_month,house_count,power_use,bill
강원도,고성군,2021-02,18182,199.97,26694
강원도,속초시,2021-02,47728,248.4,27673
강원도,양양군,2021-02,20259,208.86,25413
강원도,동해시,2021-02,53270,232.62,26065
강원도,태백시,2021-02,24355,234.52,27604
강원도,홍천군,2021-02,43133,214.4,27333
강원도,영월군,2021-02,24595,207.95,26100
강원도,춘천시,2021-02,157590,246.52,28892
강원도,삼척시,2021-02,43135,203.79,24212
강원도,철원군,2021-02,24006,227.66,30010
강원도,강릉시,2021-02,127297,227.96,26704
강원도,양구군,2021-02,12906,217.98,27784
강원도,원주시,2021-02,201932,259.64,30523
강원도,횡성군,2021-02,30503,209.11,26408
강원도,정선군,2021-02,23366,212.73,26426
강원도,화천군,2021-02,14237,208.95,26965
충청북도,음성군,2021-02,63166,214.42,25008
충청북도,단양군,2021-02,18831,199.05,25563
충청북도,증평군,2021-02,23248,208.49,23624
충청북도,충주시,2021-02,133663,219.92,25858
충청북도,제천시,2021-02,77114,233.07,27604
충청북도,옥천군,2021-02,29803,213.26,26653
충청북도,진천군,2021-02,53825,229.2,26667
충청북도,청주시 청원구,2021-02,113659,230.24,26046
충청북도,영동군,2021-02,29756,199.06,25044
충청북도,괴산군,2021-02,24311,197.24,25795
충청북도,청주시 흥덕구,2021-02,154671,230.15,26742
충청북도,청주시 상당구,2021-02,98050,252.61,29635
충청북도,보은군,2021-02,21228,197.79,25114
충청북도,청주시 서원구,2021-02,111115,226.11,25328
충청남도,천안시 동남구,2021-02,140071,233.15,26207
충청남도,당진시,2021-02,110998,215.09,23919
충청남도,예산군,2021-02,48503,216.15,25629
충청남도,공주시,2021-02,63879,214.11,24949
충청남도,서산시,2021-02,109548,227.39,25558
충청남도,금산군,2021-02,32939,193.37,23548
충청남도,청양군,2021-02,19278,198.22,24443
충청남도,홍성군,2021-02,60405,236.22,27460
충청남도,태안군,2021-02,38824,203.65,25488
충청남도,보령시,2021-02,59042,227.84,26048
충청남도,계룡시,2021-02,20107,267.61,28550
충청남도,아산시,2021-02,186085,231.06,25444
충청남도,논산시,2021-02,72554,209.67,24070
충청남도,부여군,2021-02,38894,213.11,25843
충청남도,서천군,2021-02,34490,196.52,23946
충청남도,천안시 서북구,2021-02,219506,253.85,27879
전라북도,남원시,2021-02,49534,205.98,23800
전라북도,순창군,2021-02,16227,196.41,23084
전라북도,정읍시,2021-02,66053,212.34,24301
전라북도,고창군,2021-02,33857,199.92,24516
전라북도,군산시,2021-02,154250,235.41,25544
전라북도,장수군,2021-02,13775,189.32,22907
전라북도,익산시,2021-02,156822,231.29,25419
전라북도,김제시,2021-02,49826,197.89,23599
전라북도,진안군,2021-02,15622,185.08,22949
전라북도,완주군,2021-02,53110,210.85,24152
전라북도,무주군,2021-02,15793,194.66,23780
전라북도,부안군,2021-02,31016,201.39,24522
전라북도,전주시 덕진구,2021-02,171990,253.89,28240
전라북도,임실군,2021-02,17676,173.59,21675
전라북도,전주시 완산구,2021-02,183523,252.06,27974
전라남도,여수시,2021-02,151756,236.55,26420
전라남도,보성군,2021-02,25830,191.35,22688
전라남도,영암군,2021-02,37555,188.33,20500
전라남도,무안군,2021-02,51437,223.16,25809
전라남도,함평군,2021-02,19037,186.02,22036
전라남도,영광군,2021-02,30635,212.22,25718
전라남도,신안군,2021-02,22883,174.46,23156
전라남도,광양시,2021-02,81965,221.87,24109
전라남도,곡성군,2021-02,17938,186.62,22577
전라남도,해남군,2021-02,40680,207.28,25319
전라남도,순천시,2021-02,147776,250.98,28399
전라남도,담양군,2021-02,24827,202.61,25792
전라남도,완도군,2021-02,29843,204.99,26139
전라남도,구례군,2021-02,15922,200.83,23833
전라남도,진도군,2021-02,19863,200.72,25289
전라남도,목포시,2021-02,124514,246.4,26799
전라남도,강진군,2021-02,22211,193.33,22863
전라남도,화순군,2021-02,36711,203.07,22673
전라남도,장성군,2021-02,25169,194.75,23175
전라남도,나주시,2021-02,71408,211.43,22520
전라남도,고흥군,2021-02,43673,188.01,22965
전라남도,장흥군,2021-02,23582,194.37,22840
경상북도,안동시,2021-02,99934,212.95,23370
경상북도,영주시,2021-02,61555,216.44,24397
경상북도,상주시,2021-02,60062,201.92,23360
경상북도,의성군,2021-02,33745,185.83,22106
경상북도,경산시,2021-02,170040,210.57,22269
경상북도,경주시,2021-02,166698,208.6,23293
경상북도,구미시,2021-02,239037,223.11,23474
경상북도,예천군,2021-02,36106,213.83,23559
경상북도,봉화군,2021-02,20457,188.0,22259
경상북도,칠곡군,2021-02,71273,203.75,22702
경상북도,울진군,2021-02,35654,206.26,24998
경상북도,울릉군,2021-02,4979,168.1,21081
경상북도,포항시 남구,2021-02,136533,217.71,23577
경상북도,포항시 북구,2021-02,147867,236.51,25253
경상북도,영양군,2021-02,11482,184.94,22342
경상북도,영덕군,2021-02,24434,179.43,22102
경상북도,문경시,2021-02,41870,214.01,25854
경상북도,청도군,2021-02,27211,188.85,23132
경상북도,김천시,2021-02,83078,217.83,23713
경상북도,성주군,2021-02,25137,186.96,23497
경상북도,영천시,2021-02,60071,206.69,22946
경상북도,군위군,2021-02,14952,175.23,21775
경상북도,청송군,2021-02,16905,184.64,22518
경상북도,고령군,2021-02,18624,196.3,23404
경상남도,고성군,2021-02,34504,187.69,23244
경상남도,창원시 마산합포구,2021-02,101922,227.47,26079
경상남도,의령군,2021-02,19064,170.23,21174
경상남도,함양군,2021-02,25559,190.38,23087
경상남도,창원시 의창구,2021-02,140225,231.2,27454
경상남도,함안군,2021-02,37561,214.4,25845
경상남도,양산시,2021-02,180132,250.0,26253
경상남도,남해군,2021-02,29027,175.02,23440
경상남도,밀양시,2021-02,66014,203.88,24586
경상남도,거제시,2021-02,142488,235.01,27263
경상남도,거창군,2021-02,36782,200.85,24114
경상남도,산청군,2021-02,22973,174.71,22093
경상남도,합천군,2021-02,30596,171.9,21654
경상남도,진주시,2021-02,201268,232.87,26908
경상남도,창원시 진해구,2021-02,105921,233.51,25680
경상남도,통영시,2021-02,75745,225.54,26554
경상남도,김해시,2021-02,268946,251.23,27026
경상남도,창녕군,2021-02,38902,195.49,24263
경상남도,창원시 성산구,2021-02,101561,246.55,26083
경상남도,사천시,2021-02,68396,207.92,24334
경상남도,하동군,2021-02,28763,177.52,22822
경상남도,창원시 마산회원구,2021-02,95251,244.9,27375
